joke_id,user_id,rating
RE5tz52q,USF1000,0
RE5tz4dd,USF1000,2
RE5tz319,USF1000,3
RE5tz2wj,USF1000,2
RE5tz1pc,USF1000,0
RE5tz1o1,USF1000,0
RE5tz0ef,USF1000,0
RE5tz04j,USF1000,3
RE5tz02q,USF1000,0
RE5tz02h,USF1000,0
RE5tyzxh,USF1000,3
RE5tyzx4,USF1000,1
RE5tyze2,USF1000,1
RE5tyytx,USF1000,2
RE5tyyo2,USF1000,4
RE5tyxrb,USF1000,2
RE5tyx6v,USF1000,3
RE5tywci,USF1000,3
RE5tyt6c,USF1000,2
RE5tyqqw,USF1000,0
RE5tyqqi,USF1000,1
RE5tyqag,USF1000,8
RE5tymmf,USF1000,1
RE5tymff,USF1000,1
RE5tylhy,USF1000,2
RE5tyl5a,USF1000,0
RE5tykxd,USF1000,1
RE5tyk3b,USF1000,2
RE5tyj4u,USF1000,1
RE5tyii8,USF1000,1
RE5tygzy,USF1000,2
RE5tygyu,USF1000,0
RE5tygq5,USF1000,0
RE5tyfyh,USF1000,1
RE5tyfoj,USF1000,0
RE5tyf21,USF1000,0
RE5tyezd,USF1000,1
RE5tyess,USF1000,5
RE5tyegn,USF1000,0
JE1,USF1000,1
JE2,USF1000,1
JE3,USF1000,0
JE4,USF1000,3
JE5,USF1000,5
JE6,USF1000,4
JE7,USF1000,0
JE8,USF1000,2
JE9,USF1000,3
JE10,USF1000,0
JE11,USF1000,2
JE12,USF1000,4
JE13,USF1000,3
JE14,USF1000,2
JE15,USF1000,1
JE16,USF1000,0
JE17,USF1000,4
JE18,USF1000,1
JE19,USF1000,4
JE20,USF1000,1
JE21,USF1000,5
JE22,USF1000,4
JE23,USF1000,0
JE24,USF1000,3
JE25,USF1000,4
JE26,USF1000,1
JE27,USF1000,3
JE28,USF1000,7
JE29,USF1000,2
JE30,USF1000,6
JE31,USF1000,5
JE32,USF1000,7
JE33,USF1000,7
JE34,USF1000,5
JE35,USF1000,6
JE36,USF1000,3
JE37,USF1000,2
JE38,USF1000,2
JE39,USF1000,7
JE40,USF1000,7
JE41,USF1000,7
JE42,USF1000,7
JE43,USF1000,4
JE44,USF1000,1
JE45,USF1000,7
JE46,USF1000,6
JE47,USF1000,7
JE48,USF1000,7
JE49,USF1000,8
JE50,USF1000,8
JE51,USF1000,6
JE52,USF1000,7
SS1,USF1000,1
SS2,USF1000,7
SS282,USF1000,6
SS710,USF1000,8
SS163,USF1000,8
SS2559,USF1000,5
SS1424,USF1000,8
SS335,USF1000,8
SS536,USF1000,9
SS1581,USF1000,9
SS2510,USF1000,7
SS1395,USF1000,8
SS2795,USF1000,6
SS873,USF1000,4
SS964,USF1000,4
SS3579,USF1000,6
SS2055,USF1000,6
SS291,USF1000,8
SS1270,USF1000,7
SS3254,USF1000,0
SS1499,USF1000,1
SS1559,USF1000,7
SS3298,USF1000,3
SS3087,USF1000,1
SS2871,USF1000,4
SS3629,USF1000,3
SS1835,USF1000,7
SS1333,USF1000,8
SS1490,USF1000,6
SS2887,USF1000,2
SS2740,USF1000,0
SS1482,USF1000,4
SS1728,USF1000,8
SS442,USF1000,10
SS1555,USF1000,7
SS2842,USF1000,7
SS1066,USF1000,6
SS994,USF1000,8
SS587,USF1000,8
SS881,USF1000,8
SS1401,USF1000,8
SS950,USF1000,8
SS21,USF1000,8
SS3614,USF1000,7
SS941,USF1000,8
SS2771,USF1000,6
SS1365,USF1000,6
SS570,USF1000,8
SS431,USF1000,8
SS1460,USF1000,9
SS1877,USF1000,9
SS2382,USF1000,10
SS507,USF1000,7
SS2942,USF1000,9
SS1342,USF1000,9
SS2566,USF1000,7
SS2914,USF1000,8
SS1774,USF1000,8
SS1871,USF1000,7
SS2824,USF1000,6
SS638,USF1000,9
SS1076,USF1000,8
SS1246,USF1000,8
SS393,USF1000,5
SS523,USF1000,7
SS2605,USF1000,4
SS1651,USF1000,9
SS288,USF1000,9
SS2827,USF1000,10
SS2598,USF1000,10
SS1003,USF1000,9
SS1500,USF1000,10
SS2784,USF1000,9
SS417,USF1000,10
SS961,USF1000,10
SS598,USF1000,10
SS716,USF1000,9
SS2653,USF1000,9
SS2476,USF1000,9
SS1292,USF1000,7
SS3354,USF1000,7
SS600,USF1000,8
SS1012,USF1000,8
SS1097,USF1000,7
SS871,USF1000,0
SS2134,USF1000,6
SS2895,USF1000,10
SS131,USF1000,6
SS3028,USF1000,0
SS1645,USF1000,1
SS1937,USF1000,5
SS3591,USF1000,8
SS1484,USF1000,7
SS2803,USF1000,3
SS2143,USF1000,8
SS1062,USF1000,4
SS1738,USF1000,7
SS2682,USF1000,6
SS1031,USF1000,7
SS683,USF1000,7
SS834,USF1000,5
SS3619,USF1000,8
SS1383,USF1000,6
SS2873,USF1000,8
SS68,USF1000,10
SS1558,USF1000,7
SS1286,USF1000,10
SS1473,USF1000,4
SS2390,USF1000,10
SS1055,USF1000,6
SS1899,USF1000,4
SS1219,USF1000,6
SS2872,USF1000,8
SS1626,USF1000,1
SS2028,USF1000,10
SS377,USF1000,4
SS31,USF1000,6
SS841,USF1000,7
SS419,USF1000,9
SS937,USF1000,6
SS2562,USF1000,6
SS1589,USF1000,7
SS705,USF1000,8
SS3137,USF1000,6
SS2324,USF1000,10
SS912,USF1000,9
SS687,USF1000,8
SS1221,USF1000,2
SS1021,USF1000,7
SS32,USF1000,3
SS1250,USF1000,6
SS317,USF1000,0
SS711,USF1000,0
SS1290,USF1000,5
SS2749,USF1000,8
SS899,USF1000,6
SS550,USF1000,10
SS271,USF1000,7
SS969,USF1000,7
SS1587,USF1000,9
SS350,USF1000,0
SS3575,USF1000,7
SS245,USF1000,8
SS577,USF1000,0
SS1350,USF1000,6
SS315,USF1000,4
SS3496,USF1000,7
SS279,USF1000,8
SS2374,USF1000,7
SS2420,USF1000,0
SS407,USF1000,6
SS1138,USF1000,5
SS259,USF1000,8
SS2029,USF1000,7
SS1864,USF1000,7
SS2624,USF1000,4
SS1334,USF1000,3
SS2778,USF1000,3
SS1137,USF1000,8
SS1449,USF1000,5
SS3327,USF1000,4
SS376,USF1000,7
SS345,USF1000,10
SS277,USF1000,9
SS839,USF1000,7
SS1633,USF1000,10
SS2385,USF1000,10
SS3172,USF1000,10
SS2006,USF1000,9
SS531,USF1000,10
SS1501,USF1000,1
SS264,USF1000,9
SS2870,USF1000,4
SS2814,USF1000,7
SS596,USF1000,8
SS1546,USF1000,8
SS459,USF1000,8
SS1998,USF1000,8
SS251,USF1000,4
SS713,USF1000,6
SS1950,USF1000,7
SS2666,USF1000,10
SS3012,USF1000,8
SS1540,USF1000,7
SS1104,USF1000,7
